127.0.0.1 - - [20/Apr/2023:21:31:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/ HTTP/1.1" 200 16314
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/js/jquery-3.6.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/header/minimi-removebg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/banner03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/banner02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/header/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/kakao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/banner01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/lemoncake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/defaultProfile.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/minimi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/header/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/food.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /final/resources/image/home/cherryblossoms.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:21:31:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
